# alpha,l2_mean,l2_std,l1_mean,l1_std,hub_mean,hub_std
1.261856883066020951e-01,9.276844912273831678e-01,3.947803291857208269e-02,9.269786200158082190e-01,7.179693544106285907e-02,9.450315646689574356e-01,4.843085927160923482e-02
1.788649529057436127e-01,9.341718587051197620e-01,4.619841374300823894e-02,9.457130189241690355e-01,5.112040417969449663e-02,9.507007946507330942e-01,3.467483622891437411e-02
2.535364493970112543e-01,9.151900223431864712e-01,3.912497523435173180e-02,9.077778416562012342e-01,7.829302196379077372e-02,8.872198678430495145e-01,2.956134207835958705e-02
3.593813663804629188e-01,8.973295643294250112e-01,3.310139563650330713e-02,8.824168933611504784e-01,5.812416900469923042e-02,8.784078695340694631e-01,3.882491394743294716e-02
5.094138014816381732e-01,8.264091881116117921e-01,3.745245543499239882e-02,8.547423363195940649e-01,6.046422642022238059e-02,8.183642595015692134e-01,3.088211951222093188e-02
7.220809018385467848e-01,7.417728182820677585e-01,2.656931620997695850e-02,7.827968813125503189e-01,5.403362593612580367e-02,7.399870776790750115e-01,3.065954228074607019e-02
1.023531021899026783e+00,6.908625111238585470e-01,2.385575415742546487e-02,7.160664446541104011e-01,5.725608030387523834e-02,6.596958911985636442e-01,3.077934789045858738e-02
1.450828778495940163e+00,5.837962794315065818e-01,2.180016972244524717e-02,6.158807533984883564e-01,2.848332850656785584e-02,5.773215214342487522e-01,3.796270246895694367e-02
2.056512308348652507e+00,4.907703367691461094e-01,1.197223124118236559e-02,5.372690175124905654e-01,3.717058210484398828e-02,4.742460784354332048e-01,2.571513267892418589e-02
2.915053062825177399e+00,3.974255946534440698e-01,1.635493448486194726e-02,4.372438192808877355e-01,3.549513049257126129e-02,3.675672041871629880e-01,2.157886015407188551e-02
4.132012400115338657e+00,2.983107039216582046e-01,1.485331695646537747e-02,3.393626458104355703e-01,1.687585358535514946e-02,2.755873815388246717e-01,1.264507210294797679e-02
5.857020818056669853e+00,2.330687404373750771e-01,1.105278296098767196e-02,2.636830018245782670e-01,1.578008985054586005e-02,2.087080690319071119e-01,8.679938162862348497e-03
8.302175681319747369e+00,1.638804364191006890e-01,7.794998848925832440e-03,1.898687745610661004e-01,1.013949110939139225e-02,1.452229492448101067e-01,5.641133745094353835e-03
1.176811952434998432e+01,1.148326592235500571e-01,3.960637139091534656e-03,1.354369490553871125e-01,9.524687565214871865e-03,1.053100354383393611e-01,3.709926456034663266e-03
1.668100537200059819e+01,8.187438356363957448e-02,4.668049417470621076e-03,1.042455814774933404e-01,7.801865362542500203e-03,7.314826537060419021e-02,2.003183674462693121e-03
2.364489412645408350e+01,5.820922358174677319e-02,2.727738156293421298e-03,7.101872796840191793e-02,5.008542902829913636e-03,5.274808906914109363e-02,2.509154743028715363e-03
3.351602650938842487e+01,4.175567799127234692e-02,1.742099452066961330e-03,5.147993455245233191e-02,2.963093973273132203e-03,3.763393074305324687e-02,1.587342426175269820e-03
4.750810162102800405e+01,2.937434498247471978e-02,1.519557981512788735e-03,3.707211158454733202e-02,3.135402834244155768e-03,2.673944951464630668e-02,1.680137730503063372e-03
6.734150657750825530e+01,2.082655012939600703e-02,8.269513303091844411e-04,2.615114367521000419e-02,2.027713599608676510e-03,1.843028307423972417e-02,8.523494936842246524e-04
9.545484566618341660e+01,1.446309079852228785e-02,5.000522483446808277e-04,1.828035265115787039e-02,1.301241007940585762e-03,1.341254170649256242e-02,1.089629663657575454e-03
